UCF Code,Status,City L1,Date of Onboarding
GCD-10528,Active,Batam,2025-01-22
GCD-4264,Blacklisted,Jabodetabek,2025-01-22
GCD-18426,Active,Jabodetabek,2025-01-22
GCD-20933,Blacklisted,Batam,2025-01-22
GCD-20932,Blacklisted,Batam,2025-01-22
GCD-20952,Blacklisted,Bandung,2025-01-22
GCD-14413,Active,Bali,2025-01-23
GCD-12595,Active,Jabodetabek,2025-01-23
GCD-20321,Active,Jabodetabek,2025-01-23
OX27122407440302763,Active,Serang,2025-01-23
GCD-5324,Active,Semarang,2025-01-24
GCD-20956,Blacklisted,Surabaya,2025-01-23
GCD-20954,Blacklisted,Medan,2025-01-24
GCD-20942,Active,Palembang,2025-01-24
GCD-4738,Active,Semarang,2025-01-24
GCD-14009,Active,Semarang,2025-01-24
GCD-20951,Active,Medan,2025-01-24
GCD-20943,Active,Medan,2025-01-24
GCD-20959,Blacklisted,Batam,2025-01-25
GCD-20498,Blacklisted,Palembang,2025-01-25
GCD-20961,Blacklisted,Palembang,2025-01-25
GCD-20958,Blacklisted,Surabaya,2025-01-25
GCD-20677,Active,Palembang,2025-01-25
GCD-20706,Active,Palembang,2025-01-25
GCD-20970,Active,Jabodetabek,2025-01-26
GCD-20963,Blacklisted,Jabodetabek,2025-01-30
GCD-20960,Active,Surabaya,2025-01-30
GCD-20964,Active,Batam,2025-01-30
GCD-20957,Blacklisted,Palembang,2025-01-30
GCD-20985,Active,Jabodetabek,2025-01-30
GCD-2331,Blacklisted,Jabodetabek,2025-01-30
GCD-20969,Active,Palembang,2025-01-31
GCD-4663,Active,Surabaya,2025-01-31
GCD-19999,Active,Makassar,2025-01-31
GCD-3208,Blacklisted,Jabodetabek,2025-01-31
GCD-4437,Active,Yogyakarta,2025-02-03
GCD-20228,Blacklisted,Bandung,2025-02-03
GCD-15393,Active,Surabaya,2025-02-03
GCD-20918,Blacklisted,Jabodetabek,2025-02-03
GCD-20962,Active,Jabodetabek,2025-02-03
GCD-20980,Blacklisted,Jabodetabek,2025-02-03
GCD-20916,Blacklisted,Jabodetabek,2025-02-03
GCD-20966,Active,Yogyakarta,2025-02-03
GCD-20967,Blacklisted,Jabodetabek,2025-02-03
GCD-20974,Active,Surabaya,2025-02-03
GCD-20975,Active,Batam,2025-02-03
GCD-20930,Blacklisted,Batam,2025-02-03
GCD-21054,Active,Jabodetabek,2025-02-04
GCD-8682,Active,Yogyakarta,2025-02-04
GCD-20877,Active,Jabodetabek,2025-02-04
GCD-5626,Active,Semarang,2025-02-04
GCD-14305,Blacklisted,Jabodetabek,2025-02-04
GCD-20987,Blacklisted,Serang,2025-02-04
GCD-9868,Active,Bali,2025-02-05
GCD-20984,Active,Surabaya,2025-02-05
GCD-20986,Blacklisted,Jabodetabek,2025-02-05
GCD-15046,Blacklisted,Surabaya,2025-02-05
GCD-20292,Active,Yogyakarta,2025-02-06
GCD-20989,Active,Medan,2025-02-06
GCD-20991,Active,Semarang,2025-02-06
GCD-20590,Active,Yogyakarta,2025-02-06
GCD-20152,Active,Jabodetabek,2025-02-06
GCD-20510,Active,Bali,2025-02-06
GCD-4562,Blacklisted,Palembang,2025-02-06
GCD-15083,Active,Bandung,2025-02-06
GCD-20992,Blacklisted,Medan,2025-02-06
GCD-4154,Blacklisted,Semarang,2025-02-06
GCD-20898,Active,Jabodetabek,2025-02-06
GCD-20988,Active,Jabodetabek,2025-02-06
GCD-19566,Active,Bandung,2025-02-06
GCD-4093,Blacklisted,Bandung,2025-02-06
GCD-20355,Blacklisted,Jabodetabek,2025-02-07
GCD-12925,Active,Semarang,2025-02-07
GCD-20946,Active,Jabodetabek,2025-02-07
GCD-21038,Blacklisted,Serang,2025-02-07
GCD-21023,Active,Semarang,2025-02-07
GCD-20783,Active,Semarang,2025-02-07
GCD-20994,Active,Semarang,2025-02-07
GCD-20385,Active,Surabaya,2025-02-07
GCD-21002,Blacklisted,Jabodetabek,2025-02-07
GCD-20995,Blacklisted,Batam,2025-02-08
GCD-20997,Active,Pekanbaru,2025-02-08
GCD-20999,Blacklisted,Batam,2025-02-10
GCD-21000,Active,Batam,2025-02-10
GCD-19717,Active,Pekanbaru,2025-02-10
GCD-14067,Active,Yogyakarta,2025-02-10
GCD-21015,Active,Surabaya,2025-02-10
GCD-20680,Active,Surabaya,2025-02-10
GCD-18734,Blacklisted,Jabodetabek,2025-02-11
GCD-21008,Blacklisted,Medan,2025-02-11
GCD-20996,Active,Yogyakarta,2025-02-11
GCD-14969,Blacklisted,Pekanbaru,2025-02-11
GCD-20193,Active,Bandung,2025-02-11
GCD-20516,Active,Bandung,2025-02-12
GCD-21073,Active,Bandung,2025-02-12
GCD-13262,Blacklisted,Surabaya,2025-02-12
GCD-20993,Blacklisted,Jabodetabek,2025-02-12
GCD-7256,Blacklisted,Semarang,2025-02-12
GCD-21016,Active,Batam,2025-02-12
GCD-14164,Blacklisted,Bandung,2025-02-13
GCD-21044,Blacklisted,Serang,2025-02-13
GCD-21019,Blacklisted,Palembang,2025-02-13
GCD-20568,Blacklisted,Jabodetabek,2025-02-13
OX16112420311802331,Active,Surabaya,2025-02-13
GCD-21039,Blacklisted,Semarang,2025-02-13
GCD-20803,Active,Yogyakarta,2025-02-13
GCD-20929,Active,Jabodetabek,2025-02-13
GCD-21024,Blacklisted,Palembang,2025-02-13
GCD-21037,Active,Surabaya,2025-02-14
GCD-21034,Blacklisted,Medan,2025-02-14
GCD-11246,Active,Semarang,2025-02-14
GCD-20562,Blacklisted,Semarang,2025-02-14
GCD-13513,Active,Bali,2025-02-14
GCD-20556,Active,Surabaya,2025-02-14
GCD-21035,Active,Jabodetabek,2025-02-14
GCD-20981,Blacklisted,Palembang,2025-02-15
GCD-5794,Blacklisted,Bali,2025-02-17
GCD-3396,Blacklisted,Jabodetabek,2025-02-17
GCD-21046,Blacklisted,Jabodetabek,2025-02-17
GCD-5853,Active,Jabodetabek,2025-02-17
GCD-8949,Active,Yogyakarta,2025-02-17
GCD-21032,Frozen,Jabodetabek,2025-02-17
GCD-21056,Active,Surabaya,2025-02-17
GCD-20711,Active,Pekanbaru,2025-02-17
GCD-21050,Blacklisted,Semarang,2025-02-17
GCD-21047,Active,Batam,2025-02-17
GCD-20867,Active,Jabodetabek,2025-02-17
GCD-10016,Blacklisted,Palembang,2025-02-17
GCD-16237,Active,Semarang,2025-02-18
GCD-21055,Active,Batam,2025-02-18
GCD-21049,Active,Medan,2025-02-18
GCD-21030,Blacklisted,Medan,2025-02-18
GCD-21042,Active,Jabodetabek,2025-02-18
GCD-21059,Active,Semarang,2025-02-18
GCD-12871,Active,Palembang,2025-02-18
GCD-8677,Active,Jabodetabek,2025-02-18
GCD-21045,Blacklisted,Jabodetabek,2025-02-19
GCD-21061,Active,Jabodetabek,2025-02-19
GCD-21064,Active,Jabodetabek,2025-02-19
GCD-21029,Active,Jabodetabek,2025-02-19
GCD-8966,Active,Yogyakarta,2025-02-19
GCD-21013,Active,Jabodetabek,2025-02-19
GCD-21067,Active,Semarang,2025-02-19
GCD-20459,Frozen,Surabaya,2025-02-19
GCD-21065,Blacklisted,Serang,2025-02-19
GCD-21069,Blacklisted,Semarang,2025-02-19
GCD-6577,Active,Pekanbaru,2025-02-20
GCD-21072,Frozen,Batam,2025-02-20
GCD-20458,Blacklisted,Jabodetabek,2025-02-20
GCD-21120,Active,Pekanbaru,2025-02-20
GCD-21010,Active,Jabodetabek,2025-02-21
GCD-20279,Active,Jabodetabek,2025-02-21
GCD-21077,Active,Surabaya,2025-02-21
GCD-20481,Active,Bandung,2025-02-22
GCD-21075,Blacklisted,Palembang,2025-02-24
GCD-21058,Blacklisted,Jabodetabek,2025-02-24
GCD-20363,Active,Surabaya,2025-02-24
GCD-21095,Active,Medan,2025-02-24
GCD-21060,Active,Medan,2025-02-24
GCD-21083,Active,Serang,2025-02-24
GCD-21040,Active,Semarang,2025-02-24
GCD-8963,Blacklisted,Jabodetabek,2025-02-25
GCD-16922,Active,Jabodetabek,2025-02-25
GCD-2821,Blacklisted,Jabodetabek,2025-02-25
GCD-21085,Active,Semarang,2025-02-25
GCD-6027,Active,Jabodetabek,2025-02-25
GCD-19890,Active,Yogyakarta,2025-02-25
GCD-21051,Active,Medan,2025-02-25
GCD-20154,Blacklisted,Surabaya,2025-02-25
GCD-21111,Blacklisted,Pekanbaru,2025-02-25
GCD-21036,Blacklisted,Jabodetabek,2025-02-25
GCD-7435,Blacklisted,Jabodetabek,2025-02-26
GCD-21086,Frozen,Batam,2025-02-26
GCD-21082,Active,Medan,2025-02-26
GCD-21093,Blacklisted,Jabodetabek,2025-02-26
GCD-21079,Frozen,Surabaya,2025-02-26
GCD-21070,Active,Jabodetabek,2025-02-26
GCD-21129,Active,Semarang,2025-02-26
GCD-13507,Blacklisted,Jabodetabek,2025-02-26
GCD-21084,Active,Jabodetabek,2025-02-26
GCD-25015,Active,Jabodetabek,2025-02-26
GCD-20839,Active,Bandung,2025-02-26
GCD-20340,Active,Yogyakarta,2025-02-26
GCD-4705,Active,Surabaya,2025-02-26
GCD-21152,Active,Jabodetabek,2025-02-27
GCD-9621,Active,Jabodetabek,2025-02-27
GCD-20596,Active,Surabaya,2025-02-27
GCD-25014,Active,Jabodetabek,2025-02-27
GCD-21100,Blacklisted,Jabodetabek,2025-02-27
GCD-20503,Active,Semarang,2025-02-27
GCD-21097,Blacklisted,Jabodetabek,2025-02-27
GCD-16579,Blacklisted,Yogyakarta,2025-02-27
GCD-3846,Blacklisted,Semarang,2025-02-27
GCD-19418,Blacklisted,Jabodetabek,2025-02-28
GCD-21109,Active,Semarang,2025-02-28
GCD-12042,Blacklisted,Jabodetabek,2025-02-28
GCD-25013,Active,Surabaya,2025-02-28
GCD-21102,Blacklisted,Palembang,2025-02-28
GCD-20905,Active,Batam,2025-03-02
GCD-9017,Blacklisted,Bali,2025-03-03
GCD-21103,Active,Jabodetabek,2025-03-03
GCD-21031,Active,Jabodetabek,2025-03-03
GCD-21107,Active,Surabaya,2025-03-03
GCD-21110,Blacklisted,Serang,2025-03-03
GCD-6904,Active,Yogyakarta,2025-03-03
GCD-7178,Active,Pekanbaru,2025-03-03
GCD-3809,Active,Jabodetabek,2025-03-03
GCD-21021,Active,Semarang,2025-03-03
GCD-21108,Active,Palembang,2025-03-03
GCD-21114,Blacklisted,Batam,2025-03-04
GCD-21113,Active,Batam,2025-03-04
GCD-21112,Active,Pekanbaru,2025-03-04
OX04122422402402507,Active,Jabodetabek,2025-03-04
GCD-20367,Active,Semarang,2025-03-04
GCD-21057,Active,Medan,2025-03-04
GCD-4149,Blacklisted,Bandung,2025-03-04
GCD-21118,Active,Yogyakarta,2025-03-04
GCD-16380,Active,Bali,2025-03-04
GCD-20366,Blacklisted,Jabodetabek,2025-03-04
GCD-17984,Active,Surabaya,2025-03-04
OX12122409290002607,Active,Pekanbaru,2025-03-05
GCD-12302,Blacklisted,Jabodetabek,2025-03-05
OX18022522361203200,Active,Jabodetabek,2025-03-05
GCD-21146,Active,Pekanbaru,2025-03-05
GCD-433,Active,Jabodetabek,2025-03-05
GCD-20976,Blacklisted,Yogyakarta,2025-03-05
GCD-21123,Active,Jabodetabek,2025-03-05
GCD-14810,Blacklisted,Semarang,2025-03-05
GCD-20405,Active,Semarang,2025-03-05
GCD-7696,Blacklisted,Medan,2025-03-05
GCD-20126,Active,Jabodetabek,2025-03-06
GCD-17090,Frozen,Jabodetabek,2025-03-06
GCD-21124,Blacklisted,Palembang,2025-03-06
OX09122417261002560,Active,Pekanbaru,2025-03-06
GCD-21131,Active,Surabaya,2025-03-06
GCD-21138,Blacklisted,Serang,2025-03-06
GCD-20602,Active,Jabodetabek,2025-03-06
GCD-7829,Blacklisted,Semarang,2025-03-06
GCD-2158,Active,Jabodetabek,2025-03-06
OX21022510252603225,Active,Pekanbaru,2025-03-06
GCD-21130,Active,Palembang,2025-03-06
GCD-6948,Blacklisted,Semarang,2025-03-06
GCD-21136,Blacklisted,Palembang,2025-03-06
GCD-21140,Blacklisted,Surabaya,2025-03-07
GCD-17219,Active,Bali,2025-03-07
GCD-20551,Blacklisted,Semarang,2025-03-07
GCD-11319,Blacklisted,Surabaya,2025-03-07
GCD-7707,Active,Semarang,2025-03-07
GCD-21091,Active,Jabodetabek,2025-03-07
OX07122411300402533,Active,Pekanbaru,2025-03-07
GCD-20160,Active,Jabodetabek,2025-03-07
GCD-20069,Active,Jabodetabek,2025-03-07
GCD-17363,Active,Pekanbaru,2025-03-07
GCD-21119,Active,Pekanbaru,2025-03-07
OX27022514422103283,Active,Semarang,2025-03-07
GCD-21142,Active,Jabodetabek,2025-03-07
OX22022517325803241,Active,Jabodetabek,2025-03-07
GCD-21122,Blacklisted,Jabodetabek,2025-03-07
GCD-21143,Blacklisted,Palembang,2025-03-07
GCD-21147,Active,Palembang,2025-03-08
GCD-21148,Blacklisted,Palembang,2025-03-08
GCD-21141,Blacklisted,Yogyakarta,2025-03-10
GCD-20200,Blacklisted,Surabaya,2025-03-10
OX15022509563403161,Active,Batam,2025-03-10
GCD-25050,Blacklisted,Jabodetabek,2025-03-10
GCD-19271,Active,Jabodetabek,2025-03-11
GCD-25004,Blacklisted,Jabodetabek,2025-03-11
GCD-20362,Active,Jabodetabek,2025-03-11
GCD-25001,Active,Batam,2025-03-11
GCD-5077,Active,Palembang,2025-03-11
GCD-17198,Active,Surabaya,2025-03-11
GCD-21135,Active,Pekanbaru,2025-03-11
GCD-25010,Blacklisted,Semarang,2025-03-11
GCD-20132,Blacklisted,Surabaya,2025-03-11
GCD-5554,Blacklisted,Semarang,2025-03-11
GCD-25002,Active,Semarang,2025-03-11
GCD-12437,Active,Pekanbaru,2025-03-11
GCD-2183,Active,Jabodetabek,2025-03-12
GCD-19424,Active,Jabodetabek,2025-03-12
GCD-20592,Active,Surabaya,2025-03-12
GCD-20312,Active,Surabaya,2025-03-12
OX08012514022902836,Active,Surabaya,2025-03-12
OX24022521540303259,Active,Jabodetabek,2025-03-12
GCD-25005,Active,Surabaya,2025-03-12
GCD-11259,Blacklisted,Bali,2025-03-12
GCD-21154,Blacklisted,Medan,2025-03-12
GCD-25006,Active,Medan,2025-03-12
GCD-2497,Active,Jabodetabek,2025-03-13
GCD-3950,Active,Semarang,2025-03-13
GCD-21144,Active,Semarang,2025-03-13
GCD-25028,Frozen,Serang,2025-03-13
GCD-25012,Active,Palembang,2025-03-13
GCD-20473,Active,Semarang,2025-03-13
GCD-17052,Blacklisted,Pekanbaru,2025-03-13
GCD-12476,Active,Surabaya,2025-03-13
GCD-20595,Blacklisted,Palembang,2025-03-13
GCD-8803,Active,Bali,2025-03-14
GCD-18866,Active,Surabaya,2025-03-14
GCD-9469,Active,Yogyakarta,2025-03-14
GCD-2409,Blacklisted,Jabodetabek,2025-03-14
GCD-25021,Active,Bandung,2025-03-14
GCD-20277,Blacklisted,Bandung,2025-03-14
GCD-25025,Active,Semarang,2025-03-15
GCD-25024,Active,Jabodetabek,2025-03-17
GCD-25022,Active,Semarang,2025-03-15
GCD-25026,Blacklisted,Semarang,2025-03-15
OX21022517480203233,Active,Semarang,2025-03-15
GCD-6245,Active,Semarang,2025-03-17
GCD-21101,Active,Bali,2025-03-17
GCD-25033,Active,Yogyakarta,2025-03-17
GCD-25009,Blacklisted,Jabodetabek,2025-03-17
GCD-5439,Blacklisted,Semarang,2025-03-17
GCD-25178,Blacklisted,Serang,2025-03-17
GCD-5236,Active,Palembang,2025-03-17
GCD-25037,Blacklisted,Jabodetabek,2025-03-17
GCD-12861,Blacklisted,Bali,2025-03-18
GCD-21150,Active,Surabaya,2025-03-18
GCD-25034,Blacklisted,Surabaya,2025-03-18
GCD-20090,Active,Jabodetabek,2025-03-18
GCD-21128,Active,Jabodetabek,2025-03-18
GCD-25035,Blacklisted,Batam,2025-03-18
GCD-10329,Active,Semarang,2025-03-18
GCD-3939,Active,Jabodetabek,2025-03-18
GCD-20096,Active,Jabodetabek,2025-03-18
GCD-19272,Active,Bandung,2025-03-18
GCD-25049,Blacklisted,Jabodetabek,2025-03-18
GCD-21104,Active,Pekanbaru,2025-03-18
GCD-20928,Active,Semarang,2025-03-18
GCD-2558,Active,Jabodetabek,2025-03-18
GCD-20345,Active,Yogyakarta,2025-03-18
GCD-25017,Active,Jabodetabek,2025-03-19
GCD-4165,Blacklisted,Semarang,2025-03-19
GCD-25016,Blacklisted,Batam,2025-03-19
GCD-25039,Active,Semarang,2025-03-19
GCD-21151,Active,Palembang,2025-03-19
GCD-25043,Active,Batam,2025-03-19
GCD-7546,Blacklisted,Surabaya,2025-03-20
GCD-25044,Active,Semarang,2025-03-20
GCD-5511,Active,Semarang,2025-03-20
GCD-21115,Active,Pekanbaru,2025-03-20
GCD-21121,Active,Jabodetabek,2025-03-20
GCD-13232,Blacklisted,Semarang,2025-03-20
GCD-25047,Active,Surabaya,2025-03-20
GCD-8249,Frozen,Semarang,2025-03-21
GCD-25063,Active,Jabodetabek,2025-03-21
GCD-25053,Active,Semarang,2025-03-22
GCD-3403,Blacklisted,Jabodetabek,2025-03-24
GCD-12798,Active,Semarang,2025-03-25
GCD-25074,Active,Jabodetabek,2025-03-25
GCD-6674,Blacklisted,Jabodetabek,2025-03-25
GCD-25065,Active,Jabodetabek,2025-03-25
GCD-20372,Frozen,Surabaya,2025-03-25
GCD-25048,Blacklisted,Palembang,2025-03-26
GCD-2239,Blacklisted,Surabaya,2025-03-26
GCD-8075,Active,Semarang,2025-03-26
GCD-25008,Active,Surabaya,2025-03-26
GCD-25088,Blacklisted,Batam,2025-03-26
GCD-13653,Active,Jabodetabek,2025-03-27
GCD-20299,Active,Surabaya,2025-03-27
GCD-20467,Active,Bandung,2025-03-27
GCD-25059,Active,Semarang,2025-03-27
GCD-25064,Active,Semarang,2025-03-28
GCD-25062,Blacklisted,Jabodetabek,2025-03-28
GCD-25056,Active,Yogyakarta,2025-03-28
GCD-20972,Active,Medan,2025-03-28
GCD-5710,Active,Bali,2025-04-07
GCD-25066,Active,Semarang,2025-04-07
GCD-25092,Active,Surabaya,2025-04-08
GCD-25067,Active,Jabodetabek,2025-04-08
GCD-25068,Blacklisted,Semarang,2025-04-08
GCD-25069,Blacklisted,Serang,2025-04-08
GCD-9375,Blacklisted,Pekanbaru,2025-04-08
GCD-25071,Blacklisted,Serang,2025-04-09
OX17022515375103174,Active,Semarang,2025-04-09
GCD-25114,Blacklisted,Jabodetabek,2025-04-09
GCD-25090,Active,Jabodetabek,2025-04-09
GCD-25077,Blacklisted,Palembang,2025-04-10
GCD-25072,Blacklisted,Batam,2025-04-10
GCD-25079,Blacklisted,Palembang,2025-04-10
GCD-21127,Frozen,Surabaya,2025-04-10
GCD-25098,Blacklisted,Jabodetabek,2025-04-10
GCD-25080,Blacklisted,Batam,2025-04-10
GCD-5410,Active,Semarang,2025-04-10
GCD-4306,Blacklisted,Semarang,2025-04-10
GCD-25085,Blacklisted,Serang,2025-04-10
GCD-18618,Active,Surabaya,2025-04-11
GCD-25093,Blacklisted,Semarang,2025-04-11
GCD-20649,Active,Palembang,2025-04-11
GCD-25150,Active,Surabaya,2025-04-11
GCD-5548,Blacklisted,Jabodetabek,2025-04-12
GCD-21133,Active,Bandung,2025-04-12
GCD-25081,Active,Surabaya,2025-04-14
GCD-25087,Active,Pekanbaru,2025-04-14
OX14032513235703379,Active,Jabodetabek,2025-04-14
GCD-25104,Frozen,Serang,2025-04-15
GCD-25070,Blacklisted,Jabodetabek,2025-04-15
GCD-25143,Blacklisted,Serang,2025-04-15
GCD-13292,Active,Yogyakarta,2025-04-15
GCD-25084,Active,Palembang,2025-04-16
GCD-25094,Blacklisted,Palembang,2025-04-16
GCD-25095,Blacklisted,Palembang,2025-04-16
GCD-25073,Active,Pekanbaru,2025-04-16
GCD-2867,Blacklisted,Jabodetabek,2025-04-16
GCD-3424,Active,Surabaya,2025-04-16
GCD-25097,Blacklisted,Medan,2025-04-16
GCD-20106,Active,Jabodetabek,2025-04-16
GCD-25132,Blacklisted,Serang,2025-04-17
GCD-20499,Active,Surabaya,2025-04-17
GCD-25083,Blacklisted,Serang,2025-04-17
GCD-25100,Active,Jabodetabek,2025-04-17
OX05022515244203086,Active,Surabaya,2025-04-17
GCD-25128,Blacklisted,Jabodetabek,2025-04-17
GCD-25101,Active,Pekanbaru,2025-04-21
GCD-25162,Blacklisted,Serang,2025-04-21
GCD-25055,Active,Medan,2025-04-21
GCD-1352,Active,Jabodetabek,2025-04-22
GCD-25110,Active,Palembang,2025-04-22
GCD-25119,Active,Jabodetabek,2025-04-22
GCD-25112,Active,Jabodetabek,2025-04-22
GCD-20670,Blacklisted,Semarang,2025-04-22
GCD-25054,Active,Yogyakarta,2025-04-23
GCD-20894,Active,Yogyakarta,2025-04-23
GCD-18423,Active,Jabodetabek,2025-04-23
GCD-25118,Active,Jabodetabek,2025-04-23
OX15042519582103500,Active,Jabodetabek,2025-04-24
GCD-20725,Active,Jabodetabek,2025-04-24
GCD-25078,Active,Batam,2025-04-24
GCD-25129,Blacklisted,Serang,2025-04-24
GCD-25091,Active,Palembang,2025-04-25
GCD-25130,Active,Surabaya,2025-04-25
GCD-20500,Active,Yogyakarta,2025-04-25
GCD-5872,Active,Surabaya,2025-04-25
GCD-17599,Blacklisted,Jabodetabek,2025-04-25
GCD-25124,Blacklisted,Semarang,2025-04-26
GCD-20613,Blacklisted,Jabodetabek,2025-02-06
GCD-25127,Active,Palembang,2025-04-28
GCD-3724,Active,Surabaya,2025-04-29
GCD-25135,Active,Jabodetabek,2025-04-29
GCD-25134,Blacklisted,Semarang,2025-04-29
GCD-16004,Blacklisted,Jabodetabek,2025-04-29
GCD-8155,Blacklisted,Surabaya,2025-04-30
GCD-25136,Active,Surabaya,2025-04-30
GCD-12970,Active,Bali,2025-05-01
GCD-25139,Active,Palembang,2025-05-02
GCD-5638,Blacklisted,Yogyakarta,2025-05-02
GCD-25141,Blacklisted,Palembang,2025-05-02
GCD-25138,Active,Surabaya,2025-05-02
GCD-20045,Active,Surabaya,2025-05-02
GCD-25121,Active,Medan,2025-05-03
GCD-25146,Blacklisted,Palembang,2025-05-03
GCD-25148,Active,Palembang,2025-05-03
GCD-25142,Active,Surabaya,2025-05-03
GCD-25177,Blacklisted,Jabodetabek,2025-05-05
GCD-25076,Active,Batam,2025-05-05
GCD-25102,Active,Surabaya,2025-05-05
GCD-25147,Active,Palembang,2025-05-06
GCD-25122,Active,Medan,2025-05-06
GCD-25152,Active,Medan,2025-05-06
GCD-25325,Active,Surabaya,2025-05-06
GCD-25158,Blacklisted,Surabaya,2025-05-06
GCD-12042,Blacklisted,Jabodetabek,2025-05-06
GCD-25155,Active,Semarang,2025-05-07
GCD-20662,Active,Jabodetabek,2025-05-06
GCD-21031,Active,Jabodetabek,2025-05-06
OX21032505115703435,Active,Jabodetabek,2025-05-07
GCD-25161,Active,Jabodetabek,2025-05-08
GCD-3694,Active,Bandung,2025-05-08
GCD-25126,Blacklisted,Medan,2025-05-08
GCD-25163,Active,Yogyakarta,2025-05-09
GCD-25165,Blacklisted,Jabodetabek,2025-05-09
GCD-25156,Active,Medan,2025-05-09
GCD-25207,Active,Surabaya,2025-05-10
GCD-25166,Active,Batam,2025-05-13
GCD-20914,Active,Semarang,2025-05-14
GCD-25169,Active,Jabodetabek,2025-05-14
GCD-25167,Active,Surabaya,2025-05-14
GCD-25164,Active,Surabaya,2025-05-14
GCD-25181,Blacklisted,Semarang,2025-05-15
GCD-25174,Blacklisted,Semarang,2025-05-16
GCD-25175,Active,Palembang,2025-05-16
GCD-7011,Active,Yogyakarta,2025-05-20
GCD-25185,Blacklisted,Batam,2025-05-20
GCD-25183,Active,Pekanbaru,2025-05-21
OX18032514200803409,Active,Jabodetabek,2025-05-21
GCD-25182,Blacklisted,Jabodetabek,2025-05-21
GCD-25144,Blacklisted,Jabodetabek,2025-05-21
GCD-12511,Active,Pekanbaru,2025-05-21
GCD-25096,Active,Jabodetabek,2025-05-21
GCD-21058,Blacklisted,Jabodetabek,2025-05-22
GCD-20987,Blacklisted,Jabodetabek,2025-05-22
GCD-25173,Active,Jabodetabek,2025-05-15
GCD-25168,Active,Surabaya,2025-05-22
GCD-25186,Active,Palembang,2025-05-22
GCD-25125,Active,Jabodetabek,2025-05-24
GCD-25107,Active,Jabodetabek,2025-05-24
GCD-2818,Active,Medan,2025-05-24
GCD-25205,Blacklisted,Serang,2025-05-26
GCD-25195,Blacklisted,Batam,2025-05-27
GCD-25196,Active,Medan,2025-05-27
GCD-25218,Blacklisted,Jabodetabek,2025-05-30
GCD-3159,Active,Medan,2025-05-30
GCD-20352,Active,Palembang,2025-06-02
GCD-25204,Blacklisted,Batam,2025-06-02
GCD-25210,Active,Batam,2025-06-03
GCD-25211,Active,Jabodetabek,2025-06-05
GCD-25217,Active,Semarang,2025-06-08
GCD-11507,Blacklisted,Jabodetabek,2025-06-04
OX30042511252403575,Active,Yogyakarta,2025-06-09
GCD-25189,Blacklisted,Palembang,2025-06-09
GCD-25197,Active,Palembang,2025-06-09
GCD-20783,Active,Semarang,2025-06-09
GCD-25221,Blacklisted,Semarang,2025-06-09
GCD-25145,Active,Medan,2025-06-10
GCD-25212,Active,Medan,2025-06-09
GCD-25219,Blacklisted,Surabaya,2025-06-09
GCD-16354,Active,Pekanbaru,2025-06-10
GCD-25208,Blacklisted,Jabodetabek,2025-06-10
GCD-4049,Active,Surabaya,2025-06-10
GCD-3749,Active,Semarang,2025-06-10
GCD-25198,Active,Yogyakarta,2025-06-11
GCD-25329,Blacklisted,Medan,2025-06-12
GCD-25228,Blacklisted,Batam,2025-06-12
GCD-25213,Active,Palembang,2025-06-12
GCD-25253,Active,Medan,2025-06-17
GCD-25238,Active,Batam,2025-06-17
GCD-25105,Active,Medan,2025-06-17
GCD-25241,Blacklisted,Semarang,2025-06-17
GCD-25215,Blacklisted,Palembang,2025-06-17
GCD-25193,Blacklisted,Palembang,2025-06-17
GCD-25244,Active,Semarang,2025-06-19
GCD-5146,Active,Palembang,2025-06-20
GCD-25248,Blacklisted,Palembang,2025-06-23
GCD-25259,Blacklisted,Serang,2025-06-23
GCD-8585,Active,Pekanbaru,2025-06-23
GCD-25237,Active,Palembang,2025-06-23
GCD-25246,Frozen,Yogyakarta,2025-06-23
GCD-25242,Active,Pekanbaru,2025-06-23
GCD-25251,Active,Semarang,2025-06-24
GCD-4371,Active,Surabaya,2025-06-24
GCD-25254,Blacklisted,Palembang,2025-06-25
GCD-25301,Active,Palembang,2025-06-26
GCD-25260,Blacklisted,Palembang,2025-06-26
GCD-25255,Blacklisted,Semarang,2025-06-26
GCD-25270,Active,Bali,2025-06-26
GCD-25243,Active,Yogyakarta,2025-06-26
GCD-14213,Active,Jabodetabek,2025-06-26
GCD-25259,Blacklisted,Serang,2025-06-26
GCD-25306,Active,Jabodetabek,2025-06-30
GCD-25287,Blacklisted,Serang,2025-07-02
GCD-25269,Blacklisted,Semarang,2025-07-02
GCD-25264,Active,Palembang,2025-07-03
GCD-25271,Active,Semarang,2025-07-03
GCD-25233,Blacklisted,Semarang,2025-07-03
GCD-25247,Frozen,Yogyakarta,2025-07-04
GCD-20189,Blacklisted,Jabodetabek,2025-07-05
GCD-25265,Active,Palembang,2025-07-05
GCD-16301,Blacklisted,Jabodetabek,2025-07-07
GCD-18870,Active,Yogyakarta,2025-07-08
GCD-20554,Active,Jabodetabek,2025-07-10
GCD-20459,Frozen,Surabaya,2025-07-10
GCD-25286,Blacklisted,Jabodetabek,2025-07-10
GCD-12533,Blacklisted,Yogyakarta,2025-07-10
GCD-25275,Active,Bali,2025-07-11
GCD-25292,Active,Palembang,2025-07-14
GCD-17743,Active,Jabodetabek,2025-07-15
GCD-25267,Blacklisted,Yogyakarta,2025-07-16
